AAL
AAPL
ADBE
ADI
ADP
ADSK
ALGN
ALXN
AMAT
AMGN
AMZN
ASML
ATVI
AVGO
BIDU
BIIB
BKNG
BMRN
CA
CDNS
CELG
CERN
CHKP
CHTR
CMCSA
COST
CSCO
CSX
CTAS
CTRP
CTSH
CTXS
DLTR
EA
EBAY
ESRX
EXPE
FAST
FB
FISV
FOX
FOXA
GILD
GOOG
GOOGL
HAS
HOLX
HSIC
IDXX
ILMN
INCY
INTC
INTU
ISRG
JBHT
JD
KHC
KLAC
LBTYA
LBTYK
LRCX
MAR
MCHP
MDLZ
MELI
MNST
MSFT
MU
MXIM
MYL
NFLX
NTES
NVDA
ORLY
PAYX
PCAR
PEP
PYPL
QCOM
QRTEA
REGN
ROST
SBUX
SHPG
SIRI
SNPS
STX
SWKS
SYMC
TMUS
TSLA
TTWO
TXN
ULTA
VOD
VRSK
VRTX
WBA
WDAY
WDC
WYNN
XLNX
XRAY
