timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,141.8000,143.2000,139.2000,141.4000,141.4000,55274,0.0000,1.0000
2018-08-30,142.6000,143.7000,141.3000,141.9000,141.9000,38142,0.0000,1.0000
2018-08-29,142.0000,143.4000,139.3000,142.4000,142.4000,62458,0.0000,1.0000
2018-08-28,141.0000,141.1000,137.5000,139.7000,139.7000,52088,0.0000,1.0000
2018-08-27,136.1000,140.9000,136.1000,140.7000,140.7000,54348,0.0000,1.0000
2018-08-24,132.4000,135.3000,132.4000,135.1000,135.1000,44427,0.0000,1.0000
2018-08-23,130.8000,132.4000,130.1000,132.3000,132.3000,45521,0.0000,1.0000
2018-08-22,129.9000,130.5000,129.1000,130.5000,130.5000,38769,0.0000,1.0000
2018-08-21,127.8000,131.2000,127.0000,130.7000,130.7000,41285,0.0000,1.0000
2018-08-20,127.0000,128.4000,125.9000,127.7000,127.7000,40706,0.0000,1.0000
2018-08-17,126.2000,128.7000,125.2000,126.9000,126.9000,49090,0.0000,1.0000
2018-08-16,127.2000,128.8000,125.6000,125.8000,125.8000,78251,0.0000,1.0000
2018-08-15,131.7000,131.7000,124.9000,126.0000,126.0000,64497,0.0000,1.0000
2018-08-14,127.9000,131.7000,127.9000,131.1000,131.1000,75268,0.0000,1.0000
2018-08-13,124.6000,127.6000,124.3000,127.2000,127.2000,24204,0.0000,1.0000
2018-08-10,125.1000,126.7000,124.3000,125.7000,125.7000,37553,0.0000,1.0000
2018-08-09,122.7000,125.6000,122.2000,125.3000,125.3000,34030,0.0000,1.0000
2018-08-08,125.1000,125.1000,122.0000,123.1000,123.1000,39965,0.0000,1.0000
2018-08-07,124.0000,125.6000,123.6000,125.4000,125.4000,38706,0.0000,1.0000
2018-08-06,124.6000,124.7000,122.6000,123.6000,123.6000,40315,0.0000,1.0000
2018-08-03,121.2000,124.3000,120.5000,124.0000,124.0000,39778,0.0000,1.0000
2018-08-02,120.0000,121.8000,119.0000,120.4000,120.4000,28896,0.0000,1.0000
2018-08-01,119.4000,122.5000,118.5000,121.0000,121.0000,69453,0.0000,1.0000
2018-07-31,122.8000,123.8000,118.5000,118.8000,118.8000,68125,0.0000,1.0000
2018-07-30,126.2000,127.6000,122.2000,122.5000,122.5000,66788,0.0000,1.0000
2018-07-27,116.0000,132.6000,116.0000,126.0000,126.0000,220529,0.0000,1.0000
2018-07-26,115.4000,116.0000,112.2000,114.6000,114.6000,92578,0.0000,1.0000
2018-07-25,116.1000,116.3000,114.0000,114.8000,114.8000,44933,0.0000,1.0000
2018-07-24,116.2000,118.1000,115.9000,116.0000,116.0000,47294,0.0000,1.0000
2018-07-23,115.8000,116.9000,113.9000,115.1000,115.1000,42417,0.0000,1.0000
2018-07-20,117.5000,118.3000,115.1000,116.1000,116.1000,28217,0.0000,1.0000
2018-07-19,118.0000,118.0000,115.8000,116.9000,116.9000,32105,0.0000,1.0000
2018-07-18,119.8000,121.1000,116.7000,117.6000,117.6000,50529,0.0000,1.0000
2018-07-17,115.2000,119.7000,114.4000,119.0000,119.0000,69289,0.0000,1.0000
2018-07-16,108.5000,114.3000,108.0000,113.9000,113.9000,68920,0.0000,1.0000
2018-07-13,107.5000,108.6000,107.0000,107.8000,107.8000,20690,0.0000,1.0000
2018-07-12,108.7000,109.5000,106.2000,107.6000,107.6000,108999,0.0000,1.0000
2018-07-11,106.5000,108.8000,106.1000,108.0000,108.0000,35800,0.0000,1.0000
2018-07-10,105.9000,107.8000,105.7000,107.3000,107.3000,23900,0.0000,1.0000
2018-07-09,104.1000,106.7000,104.1000,105.9000,105.9000,28426,0.0000,1.0000
2018-07-06,103.5000,105.3000,102.8000,103.8000,103.8000,28179,0.0000,1.0000
2018-07-05,100.5000,103.1000,100.5000,102.8000,102.8000,20731,0.0000,1.0000
2018-07-04,102.9000,103.0000,100.4000,100.7000,100.7000,14268,0.0000,1.0000
2018-07-03,102.1000,104.3000,102.1000,103.3000,103.3000,38390,0.0000,1.0000
2018-07-02,101.1000,102.1000,100.5000,101.3000,101.3000,30311,0.0000,1.0000
2018-06-29,101.0000,103.3000,101.0000,103.1000,103.1000,24547,0.0000,1.0000
