timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,238.0000,241.7600,223.8800,225.2200,225.2200,4172952,0.0000,1.0000
2018-08-08,260.0200,262.6200,251.6200,252.9700,252.9700,975302,0.0000,1.0000
2018-08-07,259.1100,266.7995,259.1100,261.5400,261.5400,875879,0.0000,1.0000
2018-08-06,257.0700,259.0200,256.2800,257.8100,257.8100,562476,0.0000,1.0000
2018-08-03,256.5000,260.3400,254.9700,258.1300,258.1300,528277,0.0000,1.0000
2018-08-02,254.5400,255.7800,252.0800,255.0300,255.0300,782865,0.0000,1.0000
2018-08-01,256.4800,261.1300,255.0200,258.7200,258.7200,375378,0.0000,1.0000
2018-07-31,256.3100,258.5160,249.8100,258.0000,258.0000,624621,0.0000,1.0000
2018-07-30,265.6000,265.6000,257.5500,259.6100,259.6100,541385,0.0000,1.0000
2018-07-27,266.4400,268.4000,261.0100,264.9100,264.9100,529811,0.0000,1.0000
2018-07-26,266.4500,268.7900,266.1500,267.6500,267.6500,427906,0.0000,1.0000
2018-07-25,265.4700,270.6400,265.1600,270.3600,270.3600,428675,0.0000,1.0000
2018-07-24,264.2200,266.4700,263.3800,263.7700,263.7700,519255,0.0000,1.0000
2018-07-23,262.6800,263.6450,258.5300,261.2800,261.2800,505263,0.0000,1.0000
2018-07-20,264.5200,265.9995,262.2800,264.2500,264.2500,542416,0.0000,1.0000
2018-07-19,259.8500,265.6500,257.8200,262.1100,262.1100,623718,0.0000,1.0000
2018-07-18,266.9800,266.9800,258.1500,261.6200,261.6200,721207,0.0000,1.0000
2018-07-17,264.2000,269.1500,261.5200,266.4200,266.4200,537996,0.0000,1.0000
2018-07-16,267.1800,269.9200,264.5000,268.0700,268.0700,507383,0.0000,1.0000
2018-07-13,267.9900,267.9900,263.8800,266.1100,266.1100,349644,0.0000,1.0000
2018-07-12,267.1700,268.0900,263.8000,267.1000,267.1000,778783,0.0000,1.0000
2018-07-11,260.2200,267.5100,259.0000,265.5200,265.5200,848429,0.0000,1.0000
